id,title,release_date,director,producer,opening_crawl
1,Episode I: The Phantom Menace,1999-05-19,George Lucas,Rick McCallum,Turmoil has engulfed the Galactic Republic...
2,Episode II: Attack of the Clones,2002-05-16,George Lucas,Rick McCallum,There is unrest in the Galactic Senate...
3,Episode III: Revenge of the Sith,2005-05-19,George Lucas,Rick McCallum,War! The Republic is crumbling under attacks...
4,Episode IV: A New Hope,1977-05-25,George Lucas,"Gary Kurtz, Rick McCallum",It is a period of civil war...
5,Episode V: The Empire Strikes Back,1980-05-21,Irvin Kershner,"Gary Kurtz, Rick McCallum",It is a dark time for the Rebellion...
6,Episode VI: Return of the Jedi,1983-05-25,Richard Marquand,"Howard G. Kazanjian, George Lucas, Rick McCallum",Luke Skywalker has returned to his home planet...
7,Episode VII: The Force Awakens,2015-12-18,J.J. Abrams,"Kathleen Kennedy, J.J. Abrams, Bryan Burk",Luke Skywalker has vanished...
8,Episode VIII: The Last Jedi,2017-12-15,Rian Johnson,"Kathleen Kennedy, Ram Bergman",The FIRST ORDER reigns...
9,Episode IX: The Rise of Skywalker,2019-12-20,J.J. Abrams,"Kathleen Kennedy, J.J. Abrams, Michelle Rejwan",The dead speak!...
10,Rogue One: A Star Wars Story,2016-12-16,Gareth Edwards,"Kathleen Kennedy, Allison Shearmur, Simon Emanuel",The Rebellion makes a risky move...
11,Solo: A Star Wars Story,2018-05-25,Ron Howard,"Kathleen Kennedy, Allison Shearmur, Simon Emanuel","Board the Millennium Falcon and journey to a galaxy far, far away..."
