id,title,composer,type,associated_with
1,Main Title,John Williams,Movie,A New Hope
2,The Imperial March,John Williams,Movie,The Empire Strikes Back
3,Duel of the Fates,John Williams,Movie,The Phantom Menace
4,Battle of the Heroes,John Williams,Movie,Revenge of the Sith
5,The Throne Room,John Williams,Movie,A New Hope
6,Across the Stars,John Williams,Movie,Attack of the Clones
7,Rey's Theme,John Williams,Movie,The Force Awakens
8,March of the Resistance,John Williams,Movie,The Force Awakens
9,The Mandalorian Theme,Ludwig Göransson,Show,The Mandalorian
10,Ahsoka Leaves,Kevin Kiner,Show,The Clone Wars
11,Sabine's Theme,Kevin Kiner,Show,Rebels
12,Fennec Shand,Ludwig Göransson,Show,The Mandalorian
13,Yoda's Theme,John Williams,Movie,The Empire Strikes Back
14,Cantina Band,John Williams,Movie,A New Hope
15,The Jedi Steps,John Williams,Movie,The Force Awakens
16,Rescue of the Princess,John Williams,Movie,A New Hope
17,The Scavenger,John Williams,Movie,The Force Awakens
18,The Adventures of Han,John Powell,Movie,Solo: A Star Wars Story
19,Clone Army,Kevin Kiner,Show,The Clone Wars
20,Canto Bight,John Williams,Movie,The Last Jedi
