id,character_name,quote,source
1,Luke Skywalker,May the Force be with you.,A New Hope
2,Darth Vader,I am your father.,The Empire Strikes Back
3,Yoda,"Do or do not, there is no try.",The Empire Strikes Back
4,Han Solo,I've got a bad feeling about this.,A New Hope
5,Admiral Ackbar,It's a trap!,Return of the Jedi
6,Leia Organa,"Help me, Obi-Wan Kenobi. You're my only hope.",A New Hope
7,Darth Vader,I find your lack of faith disturbing.,A New Hope
8,Obi-Wan Kenobi,The Force will be with you. Always.,A New Hope
9,Obi-Wan Kenobi,You were the Chosen One!,Revenge of the Sith
10,Yoda,Fear is the path to the dark side.,The Phantom Menace
11,Darth Vader,"Just for once, let me look on you with my own eyes.",Return of the Jedi
12,Obi-Wan Kenobi,"In my experience, there is no such thing as luck.",A New Hope
13,Han Solo,I’ve got a bad feeling about this.,The Empire Strikes Back
14,Luke Skywalker,"I am a Jedi, like my father before me.",Return of the Jedi
15,Qui-Gon Jinn,Your focus determines your reality.,The Phantom Menace
16,Darth Vader,The Force is strong with this one.,A New Hope
17,Padmé Amidala,I will not let this Republic that has stood for a thousand years be split in two.,Attack of the Clones
18,Qui-Gon Jinn,There’s always a bigger fish.,The Phantom Menace
19,Padmé Amidala,So this is how liberty dies. With thunderous applause.,Revenge of the Sith
20,Emperor Palpatine,Power! Unlimited power!,Revenge of the Sith
21,Emperor Palpatine,The dark side of the Force is a pathway to many abilities some consider to be unnatural.,Revenge of the Sith
22,Shmi Skywalker,"You can’t stop the change, any more than you can stop the suns from setting.",The Phantom Menace
23,Obi-Wan Kenobi,These aren’t the droids you’re looking for.,A New Hope
24,Count Dooku,"I sense great fear in you, Skywalker.",Attack of the Clones
25,Yoda,"There is no emotion, there is peace.",The Empire Strikes Back
26,Yoda,"Once you start down the dark path, forever will it dominate your destiny.",The Empire Strikes Back
27,Yoda,"A Jedi uses the Force for knowledge and defense, never for attack.",The Empire Strikes Back
28,Obi-Wan Kenobi,You will find that many of the truths we cling to depend greatly on our own point of view.,Return of the Jedi
29,Han Solo,Never tell me the odds!,The Empire Strikes Back
30,Obi-Wan Kenobi,"In my experience, there's no such thing as luck.",A New Hope
31,Obi-Wan Kenobi,I have a bad feeling about this.,The Phantom Menace
32,Han Solo,It’s not my fault.,The Empire Strikes Back
33,Luke Skywalker,Do you know what I’ve become?,The Empire Strikes Back
34,Anakin Skywalker,I can’t watch anymore.,Return of the Jedi
35,Luke Skywalker,I’ll never turn to the dark side.,Return of the Jedi
36,Obi-Wan Kenobi,"Remember, the Force will be with you, always.",A New Hope
37,Anakin Skywalker,This is where the fun begins.,Revenge of the Sith
38,Boba Fett,He’s no good to me dead.,The Empire Strikes Back
39,Darth Vader,I am altering the deal. Pray I don’t alter it any further.,The Empire Strikes Back
40,Opening Crawl,"A long time ago in a galaxy far, far away…",A New Hope
41,Obi-Wan Kenobi,Your eyes can deceive you; don’t trust them.,A New Hope
42,Gold Five,Stay on target.,A New Hope
43,Luke Skywalker,You serve your master well. And you will be rewarded.,Return of the Jedi
44,Han Solo,"Chewie, we’re home.",The Force Awakens
45,Leia Organa,I love you.,The Empire Strikes Back
46,Han Solo,I know.,The Empire Strikes Back
47,Han Solo,"You’re all clear, kid. Now let’s blow this thing and go home.",A New Hope
48,C-3PO,We’re doomed.,A New Hope
49,Darth Vader,"When I left you, I was but the learner. Now I am the master.",A New Hope
50,Han Solo,Boba Fett? Boba Fett? Where?,Return of the Jedi
51,Han Solo,I thought they smelled bad on the outside.,The Empire Strikes Back
52,Leia Organa,Would somebody get this big walking carpet out of my way?,A New Hope
53,Obi-Wan Kenobi,"Strike me down, and I will become more powerful than you could possibly imagine.",A New Hope
54,Luke Skywalker,Your overconfidence is your weakness.,Return of the Jedi
55,Darth Vader,"You have failed me for the last time, Admiral.",The Empire Strikes Back
56,Darth Vader,I find your lack of faith disturbing.,A New Hope
57,Yoda,"Judge me by my size, do you?",The Empire Strikes Back
58,Yoda,"Luminous beings are we, not this crude matter.",The Empire Strikes Back
59,Obi-Wan Kenobi,"You were right about one thing, Master. The negotiations were short.",The Phantom Menace
60,Obi-Wan Kenobi,I will do what I must.,Revenge of the Sith
61,Han Solo,Who’s scruffy-looking?,The Empire Strikes Back
62,C-3PO,We seem to be made to suffer. It’s our lot in life.,A New Hope
63,Han Solo,"Good against remotes is one thing. Good against the living, that’s something else.",A New Hope
64,Han Solo,"Great, kid. Don’t get cocky.",A New Hope
65,Darth Vader,You don’t know the power of the dark side.,Return of the Jedi
66,Yoda,Wars not make one great.,The Empire Strikes Back
67,Luke Skywalker,I’ve got a bad feeling about this.,Return of the Jedi
68,Lando Calrissian,I’ve just made a deal that will keep the Empire out of here forever.,The Empire Strikes Back
69,Admiral Piett,Bounty hunters. We don’t need their scum.,The Empire Strikes Back
70,Obi-Wan Kenobi,That’s no moon. It’s a space station.,A New Hope
71,Darth Vader,The circle is now complete.,A New Hope
72,Emperor Palpatine,"So be it, Jedi.",Return of the Jedi
73,Luke Skywalker,My name is Luke Skywalker. I’m here to rescue you.,A New Hope
74,Han Solo,I think I just blasted it.,A New Hope
75,Darth Vader,I am your father.,The Empire Strikes Back
76,Luke Skywalker,"You have failed, your highness. I am a Jedi, like my father before me.",Return of the Jedi
77,Leia Organa,"You do have your moments. Not many, but you have them.",The Empire Strikes Back
78,Lando Calrissian,You look absolutely beautiful. You truly belong here with us among the clouds.,The Empire Strikes Back
79,Han Solo,I’ll see you in hell!,The Empire Strikes Back
80,Obi-Wan Kenobi,"The Force will be with you, always.",A New Hope
81,Obi-Wan Kenobi,This is the weapon of a Jedi Knight. Not as clumsy or random as a blaster; an elegant weapon for a more civilized age.,A New Hope
82,Yoda,"Fear leads to anger, anger leads to hate, hate leads to suffering.",The Phantom Menace
83,Yoda,Adventure. Excitement. A Jedi craves not these things.,The Empire Strikes Back
84,Darth Vader,I am your father.,The Empire Strikes Back
85,Yoda,You must unlearn what you have learned.,The Empire Strikes Back
86,Leia Organa,"You do have your moments. Not many, but you have them.",The Empire Strikes Back
87,Darth Vader,"I’ve been waiting for you, Obi-Wan. We meet again, at last.",A New Hope
88,Leia Organa,I can’t believe he’s gone.,Return of the Jedi
89,Han Solo,"I’m out of it for a little while, everyone gets delusions of grandeur.",Return of the Jedi
90,Luke Skywalker,"I am a Jedi, like my father before me.",Return of the Jedi
91,Han Solo,"Laugh it up, fuzzball.",The Empire Strikes Back
92,Obi-Wan Kenobi,"The Force will be with you, always.",A New Hope
93,Emperor Palpatine,"Now, young Skywalker, you will die.",Return of the Jedi
94,Darth Vader,I find your lack of faith disturbing.,A New Hope
95,Han Solo,"You’re all clear, kid. Now let’s blow this thing and go home.",A New Hope
96,Luke Skywalker,"I am a Jedi, like my father before me.",Return of the Jedi
97,Luke Skywalker,I’ll never turn to the dark side.,Return of the Jedi
98,Han Solo,I think you just can’t bear to let a gorgeous guy like me out of your sight.,The Empire Strikes Back
99,Leia Organa,"Why, you stuck-up, half-witted, scruffy-looking Nerf herder!",The Empire Strikes Back
